pdb_id,pqr_ok,pqr_method,pqr_atoms,pqr_nonzero_charges,pqr_sum_abs_charge,ligand_ok,ligand_atoms,ligand_nonzero_charges,ligand_sum_abs_charge,error,pqr_path,ligand_mol2
7GFD,True,existing,4671,4671,1159.1796,True,25,25,3.3668999999999993,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GFD_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GFD/7GFD_ligand.mol2
7GMZ,True,existing,4676,4676,1156.7878000000007,True,26,26,2.913900000000001,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GMZ_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GMZ/7GMZ_ligand.mol2
7GEZ,True,existing,4671,4671,1159.1796,True,23,22,3.0049000000000006,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GEZ_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GEZ/7GEZ_ligand.mol2
7GF2,True,existing,4687,4687,1165.3431999999993,True,21,21,2.0595,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GF2_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GF2/7GF2_ligand.mol2
7GH5,True,existing,4684,4684,1164.8206000000002,True,18,18,1.7902,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GH5_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GH5/7GH5_ligand.mol2
5RGX,True,existing,4684,4684,1164.8206000000002,True,19,19,1.8033,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/5RGX_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/5RGX/5RGX_ligand.mol2
7GCK,True,existing,4671,4671,1159.1796,True,23,23,3.5058999999999996,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GCK_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GCK/7GCK_ligand.mol2
5RGV,True,existing,4684,4684,1164.8206000000002,True,20,18,1.3896,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/5RGV_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/5RGV/5RGV_ligand.mol2
8DII,True,existing,4638,4638,1148.1314000000018,True,25,24,2.7687000000000004,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/8DII_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/8DII/8DII_ligand.mol2
7GH7,True,existing,4684,4684,1164.8206000000002,True,20,20,1.8050000000000004,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GH7_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GH7/7GH7_ligand.mol2
7GEY,True,existing,4671,4671,1159.1796,True,17,17,1.6667,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GEY_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GEY/7GEY_ligand.mol2
7GB5,True,existing,4684,4684,1164.9851999999998,True,17,17,1.5783000000000003,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GB5_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GB5/7GB5_ligand.mol2
7GH3,True,existing,4671,4671,1159.1796,True,18,18,1.9156000000000002,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GH3_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GH3/7GH3_ligand.mol2
7GCQ,True,existing,4684,4684,1164.9851999999998,True,18,18,2.0342,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GCQ_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GCQ/7GCQ_ligand.mol2
7GBI,True,existing,4702,4702,1169.8863999999987,True,21,21,2.9265,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GBI_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GBI/7GBI_ligand.mol2
7GFP,True,existing,4671,4671,1159.1796,True,23,22,2.5391,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GFP_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GFP/7GFP_ligand.mol2
7GET,True,existing,4671,4671,1159.1796,True,23,18,1.5782000000000003,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GET_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GET/7GET_ligand.mol2
7GGM,True,existing,4671,4671,1159.1796,True,21,20,1.9800000000000004,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GGM_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GGM/7GGM_ligand.mol2
7GKA,True,existing,4615,4615,1143.9338000000016,True,23,22,1.7424000000000002,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GKA_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GKA/7GKA_ligand.mol2
7GFJ,True,existing,4671,4671,1159.1796,True,34,34,3.804000000000001,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GFJ_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GFJ/7GFJ_ligand.mol2
7GDZ,True,existing,4684,4684,1165.314399999999,True,20,20,2.5151000000000003,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GDZ_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GDZ/7GDZ_ligand.mol2
7GGB,True,existing,4671,4671,1159.1796,True,25,25,2.4404000000000003,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GGB_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GGB/7GGB_ligand.mol2
7GES,True,existing,4671,4671,1159.1796,True,22,21,1.7372999999999998,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GES_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GES/7GES_ligand.mol2
7GBD,True,existing,4684,4684,1165.1497999999995,True,23,23,3.6216999999999997,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GBD_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GBD/7GBD_ligand.mol2
7GG8,True,existing,4671,4671,1159.1796,True,21,21,1.9919,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GG8_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GG8/7GG8_ligand.mol2
7GKZ,True,existing,4597,4597,1138.6688000000017,True,23,23,2.9645,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GKZ_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GKZ/7GKZ_ligand.mol2
7GF6,True,existing,4671,4671,1159.1796,True,27,27,2.3975000000000004,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GF6_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GF6/7GF6_ligand.mol2
7DDC,True,existing,4608,4608,1142.067000000002,True,33,33,4.929199999999999,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7DDC_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7DDC/7DDC_ligand.mol2
7GH0,True,existing,4671,4671,1159.1796,True,25,24,3.5454000000000003,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GH0_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GH0/7GH0_ligand.mol2
7GDI,True,existing,4671,4671,1159.1796,True,18,18,1.5974000000000002,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GDI_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GDI/7GDI_ligand.mol2
7GHE,True,existing,4684,4684,1165.1497999999995,True,25,25,2.6391000000000004,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GHE_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GHE/7GHE_ligand.mol2
5RH3,True,existing,4684,4684,1164.9851999999998,True,19,19,1.5877000000000001,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/5RH3_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/5RH3/5RH3_ligand.mol2
7GGC,True,existing,4671,4671,1159.1796000000004,True,26,26,3.0738,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GGC_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GGC/7GGC_ligand.mol2
7GBN,True,existing,4671,4671,1159.3441999999995,True,23,23,3.9945,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GBN_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GBN/7GBN_ligand.mol2
7GF5,True,existing,4671,4671,1159.1796,True,23,23,2.5054000000000003,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GF5_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GF5/7GF5_ligand.mol2
5RH2,True,existing,4684,4684,1164.9851999999998,True,18,18,1.5859,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/5RH2_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/5RH2/5RH2_ligand.mol2
8R12,True,existing,4705,4705,1167.0163999999993,True,25,25,2.6540999999999992,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/8R12_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/8R12/8R12_ligand.mol2
7GE8,True,existing,4684,4684,1165.1497999999995,True,26,26,3.0414000000000003,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GE8_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GE8/7GE8_ligand.mol2
7GFG,True,existing,4671,4671,1159.0150000000003,True,26,26,3.6740999999999997,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GFG_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GFG/7GFG_ligand.mol2
7GEN,True,existing,4687,4687,1165.3431999999993,True,22,22,2.9490000000000003,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GEN_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GEN/7GEN_ligand.mol2
7GKK,True,existing,4615,4615,1143.9338000000016,True,22,22,2.5341,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GKK_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GKK/7GKK_ligand.mol2
7GEU,True,existing,4671,4671,1159.1796,True,21,21,1.6105,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GEU_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GEU/7GEU_ligand.mol2
7GGR,True,existing,4671,4671,1159.0150000000003,True,26,25,2.8637,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GGR_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GGR/7GGR_ligand.mol2
7GGS,True,existing,4671,4671,1159.1796,True,25,25,3.909,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GGS_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GGS/7GGS_ligand.mol2
7GE9,True,existing,4684,4684,1165.1497999999995,True,18,18,1.5200999999999996,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GE9_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GE9/7GE9_ligand.mol2
7B2J,True,existing,4834,4834,1199.309399999997,True,19,19,1.9303999999999997,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7B2J_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7B2J/7B2J_ligand.mol2
7GFK,True,existing,4671,4671,1159.1796,True,25,25,2.4919000000000002,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GFK_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GFK/7GFK_ligand.mol2
7GKL,True,existing,4608,4608,1142.067000000002,True,21,21,2.5732,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GKL_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GKL/7GKL_ligand.mol2
7GBW,True,existing,4684,4684,1165.1497999999995,True,21,20,1.5877000000000001,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GBW_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GBW/7GBW_ligand.mol2
7GE4,True,existing,4684,4684,1165.1497999999995,True,20,20,2.0469,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GE4_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GE4/7GE4_ligand.mol2
7GFN,True,existing,4671,4671,1159.1796,True,28,28,3.0783000000000005,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GFN_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GFN/7GFN_ligand.mol2
7GGN,True,existing,4671,4671,1159.0150000000003,True,27,27,3.2385999999999995,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GGN_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GGN/7GGN_ligand.mol2
7GID,True,existing,4665,4665,1155.0534000000002,True,20,18,1.4243,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GID_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GID/7GID_ligand.mol2
7GDC,True,existing,4708,4708,1172.8983999999987,True,22,22,2.9286,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GDC_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GDC/7GDC_ligand.mol2
7GFH,True,existing,4671,4671,1159.1796,True,20,20,2.4556000000000004,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GFH_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GFH/7GFH_ligand.mol2
7GGW,True,existing,4671,4671,1159.1796,True,24,24,3.5479,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GGW_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GGW/7GGW_ligand.mol2
7GIA,True,existing,4597,4597,1138.6688000000017,True,21,20,2.0365,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GIA_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GIA/7GIA_ligand.mol2
7GFI,True,existing,4671,4671,1159.0150000000003,True,23,23,2.2771000000000003,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GFI_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GFI/7GFI_ligand.mol2
7GE2,True,existing,4684,4684,1165.1497999999995,True,26,26,3.8047999999999993,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GE2_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GE2/7GE2_ligand.mol2
7GJG,True,existing,4597,4597,1138.6688000000017,True,37,36,4.5813000000000015,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GJG_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GJG/7GJG_ligand.mol2
7GGK,True,existing,4671,4671,1159.1796,True,28,23,1.7632,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GGK_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GGK/7GGK_ligand.mol2
7GEJ,True,existing,4671,4671,1159.1796,True,22,21,1.5349,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GEJ_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GEJ/7GEJ_ligand.mol2
7GJR,True,existing,4608,4608,1142.067000000002,True,29,28,3.3154999999999997,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GJR_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GJR/7GJR_ligand.mol2
7GGG,True,existing,4671,4671,1159.1796,True,26,24,2.7764,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GGG_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GGG/7GGG_ligand.mol2
7RN4,True,existing,4765,4765,1182.818199999998,True,24,24,3.1518000000000006,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7RN4_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7RN4/7RN4_ligand.mol2
7VTH,True,existing,4574,4574,1128.8000000000034,True,35,35,6.226400000000003,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7VTH_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7VTH/7VTH_ligand.mol2
7GBX,True,existing,4684,4684,1164.9851999999998,True,20,20,1.8023000000000002,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GBX_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GBX/7GBX_ligand.mol2
7GEI,True,existing,4671,4671,1159.1796,True,20,20,2.0598,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GEI_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GEI/7GEI_ligand.mol2
7GF0,True,existing,4671,4671,1159.1796,True,21,21,2.0627000000000004,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GF0_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GF0/7GF0_ligand.mol2
7GH6,True,existing,4684,4684,1165.1497999999995,True,25,25,3.7557999999999994,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GH6_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GH6/7GH6_ligand.mol2
7GJU,True,existing,4597,4597,1138.6688000000017,True,36,35,4.174999999999998,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GJU_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GJU/7GJU_ligand.mol2
7GGI,True,existing,4671,4671,1159.1796,True,21,21,2.0487,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GGI_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GGI/7GGI_ligand.mol2
7GF1,True,existing,4671,4671,1159.1796,True,20,20,1.5872000000000002,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GF1_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GF1/7GF1_ligand.mol2
7GEW,True,existing,4671,4671,1159.1796,True,21,21,2.0599000000000003,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GEW_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GEW/7GEW_ligand.mol2
